"Name","Category","Location","Phone Number"
"Света Богородица Пандонос","place_of_worship","","Ohrid"
"Црква Свети 40 Севастиски Маченици","place_of_worship","","Ohrid"
"Св. Никола Чудотворец","place_of_worship","","Ohrid"
"Св. Петка","place_of_worship","","Novo Lagovo"
"Св. Пантелејмон","place_of_worship","","Veles"
"Св. Кирил и Методиј","place_of_worship","","Veles"
"Црна Џамија","place_of_worship","","Veles"
"Успение на Пресвета Богородица","place_of_worship","","Veles"
"Св.Илија","place_of_worship","","Ново Село"
"Џамија Хусамедин Паша","place_of_worship","","Ново Село"
"Св. Никола","place_of_worship","",""
"Света Великомаченичка Недела","place_of_worship","","Dolno Konjsko"
"En-Nur Mosque","place_of_worship","","Bukovikj"
"SV Petka","place_of_worship","","Divlje"
"Манастир Св. Петка с. Бродец","place_of_worship","","Volkovija"
"Храм Св. Троица","place_of_worship","","Belica"
"Кешанли џамија","place_of_worship","","Ohrid"
"Sv. Bogorodica","place_of_worship","","Nemanjici"
"Св. Никола","place_of_worship","","Shtavica"
"Св. Георгиј","place_of_worship","","Buchin"
"Св. Архангел Михаил","place_of_worship","","Lokvica"
"Св. Илија","place_of_worship","","Kalen"
"Св. Недела","place_of_worship","","Dunje"
"Св. Петар и Павле","place_of_worship","","Dunje"
"Св. Георгиј","place_of_worship","","Dunje"
"Св. Преображение","place_of_worship","",""
"Св. Илија","place_of_worship","",""
"Св. Георгиј","place_of_worship","","Ostrilci"
"Св. Никола","place_of_worship","","Berovci"
"Св. Недела","place_of_worship","","Drugovo"
"Св. Петка","place_of_worship","","Gostirazhni"
"Св. Атанасиј Велики","place_of_worship","","Drenovci"
"Св. Спас","place_of_worship","","Prilep"
"Св. Атанасиј","place_of_worship","","Lenishta"
"Св. Преображение","place_of_worship","","Prilep"
"Св. Троица","place_of_worship","","Rosoman"
"Манастир Свети Ѓорѓи - Кнежино","place_of_worship","","Knezhino"
"Свети Димитрија","place_of_worship","","Knezhino"
"Св. Архангел Михаил","place_of_worship","",":Lavchani"
"Св. Никола","place_of_worship","","Zheleznec"
"Св. Петка","place_of_worship","","Prilep"
"Св. Атанасиј","place_of_worship","","Zheleznec"
"Рождество на Пресвета Богородица","place_of_worship","","Barakovo"
"Св. Никола","place_of_worship","","Belche"
"Св. Богородица - Пречиста Кичевска","place_of_worship","","Manastirsko Dolenci"
"Св. Георгиј","place_of_worship","","Zashle"
"Св. Константин и Св. Елена","place_of_worship","","Edinakovci"
"Свети Архангел Михаил","place_of_worship","","Pretor"
"Gorno Orizari Mosque","place_of_worship","","Gorno Orizari"
"Laka Mosque","place_of_worship","","Skopje"
"Taftalidzhe Mosque","place_of_worship","","Skopje"
"Halit Efendi Mosque","place_of_worship","","Slupchane"
"Св. Јован","place_of_worship","",""
"Балаклија","place_of_worship","","Boishte"
"Св. Никола","place_of_worship","","Sloeshtica"
"Св. Петар","place_of_worship","","Smilevo"
"Св. Атанасиј","place_of_worship","","Sopotnica"
"Успение на Пресвета Богородица","place_of_worship","","Lopatica"
"Црква „Свети Никола“","place_of_worship","",""
"Света Лидија Македонска","place_of_worship","",""
"Sveta Bogorodica","place_of_worship","","Gari"
"Св. Тодор","place_of_worship","","Sveto Todori"
"Св. Илија","place_of_worship","","Krklino"
"Св. Архангел Михаил","place_of_worship","","Lisolaj"
"Св. Ана","place_of_worship","","Oleveni"
"Св. Петка","place_of_worship","","Oleveni"
"Св. Атанасиј Велики","place_of_worship","","Oleveni"
"Св. Илија","place_of_worship","","Oleveni"
"Св. Георгиј","place_of_worship","","Velushina"
"Св. Атанасиј Велики","place_of_worship","","Lavci"
"Св. Петка","place_of_worship","","Prilep"
"Св. Илија","place_of_worship","","Prilep"
"Св. Димитриј Солунски","place_of_worship","","Prilep"
"Џамија Дуди Ханум","place_of_worship","","Kochani"
"Св. Варнава","place_of_worship","","Lukovo"
"Св. Атанасиј","place_of_worship","","Usje"
"Св. Димитриј Солунски","place_of_worship","","Bezovo"
"Св. Илија","place_of_worship","","Golemo Ilino"
"Св. Наум Охридски","place_of_worship","","Prilep"
"Св. Преображение","place_of_worship","","Zrze"
"Св. Петар и Св. Павле","place_of_worship","","Zrze"
"Св. Атанасиј","place_of_worship","","Shtrbovo"
"Св. Димитриј Солунски","place_of_worship","","Shtrbovo"
"Успение на Пресвета Богородица","place_of_worship","","Jankovec"
"Св. Игнатиј Богоносец","place_of_worship","","Jankovec"
"Св. Наум Охридски","place_of_worship","",""
"Св. Илија","place_of_worship","","Grnchari"
"Св. Петар и Св. Павле","place_of_worship","","Gorno Perovo"
"Св. Недела","place_of_worship","","Pokrvenik"
"Св. Петка","place_of_worship","","Gjavato"
"Св. Петар и Св. Павле","place_of_worship","","Podmochani"
"Св. Троица","place_of_worship","","Topolchani"
"Успение на Пресвета Богородица","place_of_worship","","Novaci"
"Св. Атанасиј","place_of_worship","","Veleselo"
"Св. Димитриј Солунски","place_of_worship","","Budimirci"
"Св. Троица","place_of_worship","","Dolneni"
